no_test;jumlah_tanggungan;penghasilan;kepemilikan_rumah;kendaraan;sekolah;listrik;koreksi_pengeluaran_mhs_iuran_sekolah;koreksi_harta_pajak_mobil;koreksi_harta_pajak_motor;koreksi_penghasilan_ayah;koreksi_penghasilan_ibu;koreksi_jumlah_tanggungan;ukt
423537983;5;3;4;3;4;2;0;0;0;4679771;0;5;6
423261801;4;1;2;4;2;3;50000;0;300;1500000;0;4;3
423076776;5;1;4;1;1;2;0;0;0;2120000;0;5;3
423576201;7;1;3;3;1;1;0;0;170000;1000000;0;7;3
423313833;2;5;4;3;1;2;0;0;350000;0;2000000;4;3
423184760;4;8;8;4;3;2;100000;0;300000;4164000;5379000;4;8
423022730;7;3;1;3;4;3;330000;2100000;350000;2000000;3500000;7;6
423219151;4;8;6;6;4;3;450000;2600000;304000;10996972;1500000;4;4
423300563;6;8;5;3;5;4;2000000;3000000;400000;28000000;0;6;8
423060344;5;1;2;3;3;2;200000;0;180000;2000000;0;5;2
423289805;4;6;5;6;3;3;135000;960000;150000;0;4955900;4;7
423363132;5;4;4;4;1;3;50000;0;224500;0;4181200;5;5
423479068;5;5;1;3;3;1;200000;2000000;200000;5105200;0;5;5
423285356;5;8;4;6;4;2;0;2000000;300000;3500000;3567600;5;7
423490252;3;3;3;3;1;2;0;0;606;1000000;1000000;3;3
423408133;3;7;4;3;1;2;0;0;140000;4000000;0;3;5
423126365;5;1;4;4;2;3;65000;1663000;279000;2000000;0;5;4
423156568;4;2;2;1;4;2;0;0;0;2500000;0;4;3
423575366;6;8;8;1;5;5;500000;4000000;300000;10000000;0;6;8
423110597;5;2;5;3;3;2;150000;0;0;3000000;0;5;5
423134063;5;2;5;3;2;2;60000;0;165000;3000000;0;5;4
423053137;3;3;2;4;2;2;0;0;250000;2000000;0;3;4
423394627;6;6;5;3;4;3;500000;1350000;230000;3500000;3500000;6;8
423536886;4;8;8;8;5;4;1500000;3500000;200000;10000000;0;4;8
423483293;6;3;5;3;3;4;100000;0;245000;4000000;0;6;5
423034288;3;3;7;4;2;2;3200000;0;450000;2000000;0;3;6
423205300;2;1;4;3;1;2;30000;0;0;0;0;2;5
423572250;6;6;5;3;5;4;1200000;2000000;200000;7000000;0;6;8
423418442;4;8;7;3;4;2;500000;2000000;300000;7000000;0;4;8
423677802;4;8;7;3;4;3;300000;0;213500;2000000;3901500;4;8
423288392;3;8;5;6;3;3;150000;4000000;200000;6000000;4400000;3;8
423393139;3;4;1;6;4;5;500000;1434500;227000;2500000;0;4;5
423426688;2;8;4;3;1;2;0;0;250000;5426000;0;2;7
423365667;5;1;1;1;1;2;0;0;0;650000;0;5;1
423114461;1;8;2;3;3;3;0;0;120000;2100000;0;1;6
423051776;6;2;7;3;3;2;200000;0;350000;3000000;0;6;4
423553212;6;8;8;7;5;3;1375000;2700000;200000;7000000;40000000;6;8
423285174;1;8;1;1;4;1;0;0;0;2000000;300000;1;4
423580971;5;8;6;5;4;3;275000;0;900000;4200000;4200000;5;7
423223109;4;6;3;3;3;2;0;2600000;250000;5000000;0;4;6
423433572;3;5;3;3;3;2;0;0;200000;3000000;0;3;6
